CV_ventricles	0.0990520411776793	0.0990520411776793
CV_atria	0.09700267255119603	0.19605471372887534
Rsys	0.0866800559974061	0.2827347697262814
aortic_area	0.05052801810268792	0.33326278782896934
kArt	0.049932566223333176	0.38319535405230254
PaPref	0.04930241076644755	0.4324977648187501
Rpulm	0.04889144918369683	0.4813892140024469
AV_delay	0.04781694972779399	0.5292061637302409
EDP_lv	0.047512636777816995	0.5767188005080579
ca50_A	0.038209206822051464	0.6149280073301093
g_CaL	0.03531989377262744	0.6502479011027368
VePref	0.03085584013093969	0.6811037412336765
perm50_A	0.027049464957313647	0.7081532061909901
k_peri	0.02524684915685662	0.7334000553478467
dr_V	0.02468015480367769	0.7580802101515244
pulmOrifice_area	0.023317893291435975	0.7813981034429603
TOT_A_V	0.02028494851612799	0.8016830519590883
a_ventricles	0.019696586671380786	0.821379638630469
Tref_lvrv	0.019164845440861	0.8405444840713301
a_atria	0.018876747581677393	0.8594212316530074
AoPref	0.01241507955489168	0.8718363112078991
TRPN_n_A	0.01141387059976302	0.8832501818076621
maxTrpn	0.011026035993030153	0.8942762178006923
ktm_unblock	0.009253224953480995	0.9035294427541734
Tref_A	0.009226549948910312	0.9127559927030837
perm50_V	0.008917460672153084	0.9216734533752368
mu_V	0.00859176328802445	0.9302652166632612
wfrac_V	0.008538876331287177	0.9388040929945484
Tref_V	0.007791034459432056	0.9465951274539804
trpnmax	0.007159300719462442	0.9537544281734429
EDP_rv	0.005958915702938049	0.959713343876381
sysOrifice_area	0.005544507114185411	0.9652578509905664
nperm_V	0.0048773420457699085	0.9701351930363363
ca50_V	0.004641801848662409	0.9747769948849987
TRPN_n_V	0.00461028679539486	0.9793872816803936
maxI_up	0.003363924958890319	0.982751206639284
nperm_A	0.002814752092934993	0.985565958732219
wfrac_A	0.0024080141270463613	0.9879739728592654
mitral_area	0.0023151666317845496	0.9902891394910499
PCa_b	0.002245021332141382	0.9925341608231912
Gncx_b	0.001982735608951697	0.9945168964321429
phi	0.001793182722627711	0.9963100791547707
mu_A	0.0012584852225745345	0.9975685643773452
dr_A	0.0012538809255421759	0.9988224453028873
TOT_A_A	0.0007452724992643349	0.9995677178021517
tricuspid_area	0.00043228219784846746	1.0000000000000002
