2.801967198415038606e-05,2.205130502349411943e-05,2.321303166545468210e-03,3.733044989630897662e-03,4.501959568104532856e-03,5.425010612732975544e-03,1.060254874298304124e-02,1.573052035298161348e-05,7.048761068339892515e-04,1.119417864329039377e-04,5.312891584479409457e-03,5.384995102659388862e-04,4.347226950347831721e-03,8.212808941039692612e-03,6.911568453741164311e-03,1.372480863005296815e-04,3.829608941376845370e-03,4.782726751539056467e-05,7.707823268642245533e-03,1.061899366539617138e-06,1.376811310988502530e-06,5.941728620658684457e-03,1.876587015480236107e-04,1.650574835325594250e-02,6.609584961407384204e-04,2.687876376695519029e-03,1.924178564146801019e-03,1.304614276965352293e-03,2.893367530922997394e-04,5.583337873419125285e-04,1.226189182286927231e-03,4.215500790245906644e-04
2.827439228226526170e-04,3.391212819350833602e-04,8.307524822217892237e-05,2.777607796292362423e-03,4.877735917554758098e-03,3.654488288221457559e-03,8.843548100782933769e-03,3.355131181004583250e-05,1.585294311272401833e-05,3.955462117502828731e-04,8.237459165469085409e-04,2.063285319395618774e-05,2.017847032799674565e-03,5.547776549095800869e-03,1.041143334032963372e-02,6.773184482808268427e-04,6.203370546421011671e-04,3.001380082885538492e-04,4.256621324465652625e-03,8.696546025679627965e-06,8.642836234398943059e-04,1.396627303599618864e-03,4.398274924318129934e-04,6.651929511639969976e-03,3.724062815965521593e-04,1.323697929763144928e-03,1.849551373236548064e-03,7.159472879556187490e-04,1.018509684917613120e-04,3.745327454728274074e-06,4.217291757428801285e-04,2.195312862681157552e-05
1.171968382472062876e-04,3.968421214133640695e-06,2.072134449418310074e-03,3.065605227206340874e-03,3.942556804294528386e-03,5.022956012448391572e-03,1.047178054287777223e-02,2.208969064090355837e-05,1.005484264585441512e-03,1.767221948738998197e-04,5.485993154048176765e-03,7.692428003832149511e-04,4.036977761443493948e-03,8.076156479126430504e-03,7.449580427283337102e-03,2.842035379679626740e-04,3.583344283797465155e-03,4.609238546411258591e-05,7.115168805726811499e-03,3.769144945789545911e-07,4.506540848077871209e-05,5.085204242369814609e-03,2.092119404072917790e-04,1.374274123258636439e-02,4.664463568547320429e-04,1.737627754187150500e-03,1.245387482530354575e-03,8.245387840469971252e-04,3.292525882025273596e-04,5.861505768409480720e-04,1.181610168626269454e-03,5.326196191640196606e-04
1.024023761955656113e-03,1.425106833293075966e-04,3.024807943649602919e-03,1.025762065234721472e-02,1.820427782550479087e-02,1.481840677434564067e-02,5.373688235631711441e-02,6.970113567456738758e-07,1.323186148400542139e-03,1.436041588983891270e-03,1.180052418932760021e-02,3.705368868954601533e-03,1.126023887818824488e-02,3.175496109033055375e-02,4.092070159386231726e-02,1.563083204416859141e-03,9.177061262279994844e-03,5.527485955312991207e-05,7.377239196091481439e-03,2.772164638172427273e-05,6.917703008752060147e-04,8.749019114988503334e-03,1.781900970678851641e-03,2.216680674080334992e-02,2.352496744178760642e-03,6.838927608508079715e-03,5.486694075882449922e-03,4.333227101393346235e-03,8.877652683852795446e-05,1.961463583887105427e-03,4.677771980171110781e-03,6.345408392417334602e-04
2.497274798449768932e-04,6.182252588546492201e-04,6.496902435914019870e-03,9.682948022331243007e-03,1.805484250848149105e-02,1.970078196287060324e-02,9.991668853526125202e-03,3.456751979576144253e-05,1.818973334171141267e-03,6.189976919998003806e-04,1.716341543629124056e-02,2.721131361564891639e-03,1.469719773551030929e-02,2.623705987686992744e-02,3.872048170399327791e-03,1.334381236686242589e-03,9.732421108196248616e-03,1.934696747416353002e-04,1.618162710282789601e-02,7.711636324379169262e-06,6.922638966298302334e-05,1.485865327164197051e-02,6.302527378910684338e-04,3.218629968236555450e-02,2.108634452906753623e-03,6.695520633587209551e-03,4.437222718400493822e-03,3.561661536837059435e-03,6.318036437768209234e-04,1.866531780986550653e-03,2.951346983588737025e-03,1.190794799594664579e-03
7.610888591796370920e-04,6.100531254437970008e-04,7.133207323257818649e-04,3.167430811676081107e-03,1.961331587986963818e-02,1.065315323563962267e-02,4.818064490983861798e-04,3.927500033862265668e-05,1.984584434797375687e-04,1.514321628578185275e-03,2.471546396098722644e-03,1.123564057069863665e-03,6.053291379252046141e-03,1.565497644480235914e-02,2.294298786424751446e-03,2.187984242824111102e-03,1.993907026449347111e-03,1.307717807555480076e-03,1.085068825600374667e-02,1.158761601935857997e-05,4.509911317935723883e-03,2.566003939129410816e-03,1.145247872948161952e-03,1.638886095049694319e-02,4.443782529039485359e-04,2.074847016841640385e-03,2.545696992994871729e-03,7.692883538243740129e-04,1.426555814628137386e-04,8.165620415689657779e-04,2.837170252148314784e-03,2.469450863590988421e-04
2.862965239773127761e-04,5.582694992245538579e-04,1.994886593552326289e-04,2.321330365726428447e-04,2.339477713517950416e-03,7.775834507208946198e-04,4.018768091271481512e-03,1.254197857936984577e-05,4.579504875217082160e-04,1.187410877207542516e-04,6.206328806409798201e-04,3.672415678972963302e-05,4.953647357433187094e-05,8.866656719626007379e-05,1.156734834038797635e-03,2.841511944080804108e-03,1.034598367792767965e-04,5.162488643382774590e-04,8.005755801188736047e-04,8.637847749088581230e-07,3.341197709160382504e-03,4.920052962661080714e-05,1.175410896994878192e-04,9.866824216785291275e-04,2.955862103867493075e-05,1.589750386268414054e-05,5.810582554040422815e-04,3.075210694781344532e-05,2.612399722240057532e-04,5.739147260520267697e-06,2.412017098350829959e-05,1.360629333659098153e-04
7.663092653513988784e-05,6.546740134466876384e-05,1.975060382970766481e-03,8.293718016744061269e-03,8.751804957361282444e-03,9.592996936215231543e-03,2.301398460210521690e-01,5.279879364271831663e-06,4.847950784976838399e-05,1.398594811208696970e-04,2.467742880939986089e-03,4.034262936399298644e-03,5.505499573456484191e-03,1.060502377764865889e-02,1.815668616214251296e-01,3.194807051272959323e-04,1.174851983738778348e-03,6.799386354277278178e-05,4.970788068361449603e-03,4.190927563585756431e-06,1.246432066750302343e-03,7.539594719880257125e-04,8.234781044629819579e-05,6.013723509307847097e-03,4.680180587964000985e-04,2.354739614106885360e-03,4.867003931390772621e-03,1.048148570922054039e-03,2.535062668590882346e-04,1.098188413873336369e-03,7.983939983341743762e-03,7.980347015457398593e-05
9.783662690897085138e-05,7.621659956236144550e-05,2.464411166347955928e-04,4.797852590094653391e-04,7.059223125690816149e-04,1.354823620874098453e-03,1.052226510462873493e-01,1.292807563443351259e-05,8.559115329794600706e-05,8.580988378623766568e-06,3.510033998091402897e-04,2.639116013457198841e-04,1.345436378180891047e-04,1.477194819009552702e-03,8.902260709170245478e-02,9.310952601735699732e-05,2.086948599379775273e-05,8.392629606640142554e-06,1.842762561960262016e-05,3.021689187404854290e-06,7.165108585685571333e-04,4.994044693776132247e-05,1.144354406852640089e-06,2.620743299027558280e-04,1.984650320193407630e-05,1.132137054233614228e-04,3.762984504658306605e-04,8.457422715866153061e-05,6.292602337691302226e-05,7.136894248740440318e-05,2.198371959021514725e-03,3.467623359786998832e-06
3.217057364555800966e-04,1.636013240439669874e-04,2.806631030457861463e-03,1.020334310586475286e-02,1.354871629315047843e-02,1.147586222936978345e-02,3.304549546032094220e-02,1.301062457190414317e-05,1.450626587786599069e-04,2.517377246524258260e-04,3.753715819898916038e-03,9.737014380673331831e-03,7.044430448176139392e-03,1.074520087243223572e-02,3.724731030044983043e-02,1.915444493079172144e-04,3.122174794754605139e-03,1.195565937722980722e-04,8.360791311509468623e-03,2.095456618031825210e-05,1.748453819788870541e-03,3.111582727621809482e-03,3.815416704233948577e-04,8.876794394226282178e-03,4.044238398390347425e-04,3.604176082919964899e-03,1.378856302675582172e-02,1.009167770674686444e-03,1.745159477161182005e-05,2.824559943718605356e-03,8.589846937702174529e-03,8.889508651604779857e-04
2.544629672975905343e-05,7.072582702060973485e-05,1.207808590088952169e-04,2.451731972912228608e-03,8.727404247720673422e-04,5.344080139815681786e-04,8.894918378542274184e-02,1.382067135166546257e-05,7.910785891507597506e-06,2.725371298273318105e-05,3.568050405002963911e-04,1.702477393930774269e-03,1.353811633298959618e-03,2.590283700781771670e-03,9.119462524208024612e-02,2.648869025426257981e-04,1.102003067041934124e-03,7.110572269284102728e-06,1.213705081439324341e-04,1.027243287317515141e-05,1.085705105299003363e-04,5.633168165920218783e-04,1.161866496145898785e-04,8.781869312324160060e-05,3.585769345016847926e-04,9.625281254545622498e-04,2.445238256225070426e-03,6.857007183623855520e-04,4.787503980346428792e-05,5.540724464018295268e-04,1.716304403764601274e-03,1.746867774574816813e-04
1.284760808170658025e-04,1.858628351195107256e-05,3.718189426076112542e-03,5.534737359275808399e-03,4.977301984186987931e-03,6.960438108696248398e-03,1.085498940523358345e-02,5.387774939346273657e-05,1.842675982007900993e-03,1.521465224118866480e-04,9.548245129778950083e-03,1.411703699113550734e-03,7.584433021718144444e-03,1.475889343667613658e-02,9.854581480899321511e-03,1.728959294596478253e-03,5.798985044062973312e-03,1.285239519787381517e-04,7.343291190725046054e-03,7.759148966635592481e-07,6.379062224179556225e-04,9.723368766433688679e-03,2.153345051461993877e-04,1.794257909542966781e-02,9.711093911735682030e-04,3.500697024316349378e-03,2.182362937487880485e-03,1.580442376349366213e-03,5.113074890586137176e-04,9.943367517271013180e-04,2.060362686117112388e-03,8.320554457591453632e-04
3.702152132040135448e-05,5.369815315458746688e-06,1.824037102246765232e-03,5.948937229986784453e-03,6.123954837526248904e-03,5.432229210680718755e-03,1.735618780794729032e-01,8.441614324500279330e-06,8.297977129375376569e-05,2.528327189600294720e-05,1.270855536535280819e-03,3.116247630878976171e-03,2.525573597587153947e-03,6.720096064821697544e-03,1.377302627244886557e-01,3.124240833813855659e-04,2.544562048941948363e-04,4.603140030748454161e-05,1.839367614919410051e-03,8.061190853009094341e-06,9.817244544460862390e-04,4.803067221605233353e-04,2.745137462137370546e-05,4.135630300281901289e-03,2.762958939755075227e-04,1.394516985905354910e-03,3.275861236146849174e-03,7.231599311744992898e-04,1.259457737030121138e-04,6.469930851248023931e-04,4.080669999303445858e-03,3.390806794091198511e-05
