CV_ventricles	0.9044882190000003
a_ventricles	0.10425065899999994
EDP_lv	0.02323312100000001
k_peri	0.005870310999999997
EDP_rv	0.00025540299999999997
a_atria	4.2881e-05
phi	3.1305000000000006e-05
mu_V	2.185200000000006e-05
Rpulm	1.3550000000000018e-05
perm50_A	1.2046000000000006e-05
Tref_lvrv	1.0740000000000019e-05
PaPref	9.753000000000003e-06
PCa_b	9.582999999999996e-06
maxTrpn	9.384000000000005e-06
AV_delay	8.928000000000002e-06
VePref	7.796999999999997e-06
nperm_A	7.531000000000004e-06
dr_A	6.910000000000002e-06
wfrac_A	6.820999999999989e-06
perm50_V	5.705999999999957e-06
AoPref	5.236999999999945e-06
TRPN_n_A	5.233999999999975e-06
Rsys	4.0109999999999875e-06
TOT_A_A	3.6249999999999822e-06
g_CaL	3.4510000000000043e-06
wfrac_V	3.105999999999986e-06
ca50_V	2.8959999999999846e-06
mitral_area	2.875999999999985e-06
ca50_A	2.7719999999999868e-06
CV_atria	2.6579999999999896e-06
nperm_V	2.655999999999989e-06
pulmOrifice_area	2.3429999999999943e-06
mu_A	2.1810000000000016e-06
ktm_unblock	2.0330000000000075e-06
Gncx_b	1.7410000000000175e-06
TOT_A_V	1.6910000000000025e-06
maxI_up	1.5859999999999968e-06
TRPN_n_V	1.374000000000001e-06
trpnmax	1.3519999999999989e-06
sysOrifice_area	1.2450000000000054e-06
dr_V	1.1550000000000052e-06
aortic_area	1.082000000000009e-06
tricuspid_area	1.0560000000000103e-06
kArt	9.87000000000016e-07
Tref_A	3.7400000000000253e-07
Tref_V	3.4500000000000183e-07
