CV_atria	1.0068832310000007
k_peri	0.00664291
a_ventricles	0.003922003000000004
EDP_lv	0.002534567000000001
a_atria	0.001079430000000001
EDP_rv	2.719300000000006e-05
Rpulm	1.6162000000000012e-05
nperm_A	1.1039000000000023e-05
nperm_V	1.0116999999999998e-05
TRPN_n_V	1.0018000000000028e-05
perm50_A	9.771000000000015e-06
trpnmax	9.075e-06
Rsys	8.041000000000005e-06
mu_V	7.615000000000016e-06
aortic_area	6.046999999999987e-06
tricuspid_area	5.452999999999992e-06
ca50_V	5.170999999999944e-06
kArt	4.954999999999978e-06
sysOrifice_area	3.6429999999999866e-06
dr_V	3.5549999999999808e-06
AV_delay	2.5589999999999907e-06
maxI_up	2.5559999999999926e-06
phi	2.4979999999999962e-06
g_CaL	2.496999999999997e-06
perm50_V	2.1930000000000013e-06
Gncx_b	2.1770000000000043e-06
dr_A	2.077000000000005e-06
Tref_lvrv	2.0309999999999984e-06
TOT_A_V	1.9540000000000024e-06
PaPref	1.9419999999999998e-06
VePref	1.8720000000000026e-06
CV_ventricles	1.5999999999999978e-06
pulmOrifice_area	1.5270000000000023e-06
mitral_area	1.494e-06
Tref_A	1.3670000000000028e-06
mu_A	1.1020000000000089e-06
wfrac_A	1.0980000000000082e-06
TOT_A_A	9.730000000000132e-07
TRPN_n_A	9.520000000000156e-07
ca50_A	8.790000000000125e-07
Tref_V	7.640000000000113e-07
ktm_unblock	7.530000000000113e-07
AoPref	6.090000000000078e-07
maxTrpn	3.5900000000000204e-07
PCa_b	1.9199999999999958e-07
wfrac_V	1.449999999999997e-07
