VePref	0.3853753817290473
Rsys	0.37815026409058317
kArt	0.09139535437052404
AoPref	0.07646699253338665
pulmOrifice_area	0.06016561843050205
aortic_area	0.05901796276265118
PaPref	0.05646687556201376
a_ventricles	0.04517333439600886
sysOrifice_area	0.028307729901091268
Tref_lvrv	0.005913809111667672
Rpulm	0.0036473763442638296
k_peri	0.003351523734999213
EDP_rv	0.0016011962952008501
nperm_V	0.0006071441721011388
g_CaL	0.0004334024604484913
Tref_V	0.00038090483684320795
a_atria	0.00036371472200542946
CV_atria	0.00024358950937354714
dr_V	0.00017232011708146098
wfrac_A	0.00011992506804278335
phi	0.00011582766488085148
TOT_A_A	9.836336663863987e-05
TRPN_n_V	9.367277072581984e-05
mitral_area	8.720069127146886e-05
perm50_A	8.403164091309694e-05
ca50_A	7.114335510226907e-05
Tref_A	6.960459725937583e-05
PCa_b	6.393940463592169e-05
CV_ventricles	6.33218803705396e-05
nperm_A	5.711086841513625e-05
mu_A	5.296188480723562e-05
trpnmax	5.0438983916275576e-05
EDP_lv	4.911049183113523e-05
dr_A	4.1749741477800616e-05
tricuspid_area	4.084493387664137e-05
ca50_V	3.938923822913033e-05
AV_delay	3.581954022680027e-05
mu_V	3.424230873371721e-05
TOT_A_V	2.1417920407846972e-05
Gncx_b	1.9536432344891517e-05
TRPN_n_A	1.8677823591231707e-05
maxTrpn	1.3544217123443881e-05
maxI_up	1.2993415356466571e-05
wfrac_V	8.484312087728545e-06
ktm_unblock	3.162179046570558e-06
perm50_V	2.9881581723636265e-06
