EDP_lv	0.5077405749452519
Rpulm	0.20358312139341697
VePref	0.07475441822152654
a_atria	0.05700130146829104
AoPref	0.03840108262259146
Rsys	0.03341954201711678
k_peri	0.031547618264573044
PaPref	0.026268595536514026
Tref_lvrv	0.016279471386511268
kArt	0.013996913187736805
aortic_area	0.009386542223809104
sysOrifice_area	0.006678685318404104
pulmOrifice_area	0.004320942413780509
EDP_rv	0.0011247891646064471
g_CaL	0.0009491836434448876
a_ventricles	0.0008653477119240868
nperm_V	0.0008584633208774511
mu_A	0.0008077690560842893
trpnmax	0.0005154454916656129
TRPN_n_V	0.0005020889792824293
Tref_A	0.0004734189203147798
CV_atria	0.00043047681743462157
perm50_V	0.0004003282104287794
tricuspid_area	0.0003381674803423318
TOT_A_V	0.0002945150142684477
mitral_area	0.0002778016019182862
ktm_unblock	0.00025347366835582776
ca50_A	0.00023600823557342425
AV_delay	0.0001912311944468705
maxTrpn	0.00018479640763842568
nperm_A	0.00012698640971891582
CV_ventricles	5.082549745411126e-05
Tref_V	3.999645961400772e-05
TRPN_n_A	3.176980291980483e-05
Gncx_b	3.155514098964173e-05
dr_A	3.043435454202042e-05
ca50_V	2.7596451689772575e-05
TOT_A_A	2.3321311780037842e-05
perm50_A	2.3124985441989454e-05
maxI_up	1.8124037953054034e-05
wfrac_A	1.6936710350361173e-05
phi	1.3889513057040182e-05
wfrac_V	1.3085231692979968e-05
PCa_b	1.0442554794227654e-05
dr_V	6.826368977405812e-06
mu_V	1.940712325882664e-06
