5.261369999999998721e-04,5.966520000000000330e-04,8.023080999999992677e-03,7.706283999999993806e-03,2.174070600000001241e-02,7.022713000000005076e-03,9.174983000000001138e-03,1.141695999999997428e-02,5.097789999999999180e-04,4.253180000000005923e-04,5.950008999999987884e-03,1.052551999999999134e-03,1.081570799999998986e-02,1.819737000000000307e-03,7.113679999999994626e-03,1.082226000000000715e-02,1.089000000000000416e-05,2.843580000000003427e-04,2.106209999999999419e-03,6.010840000000003186e-04,2.671700000000004253e-05,1.898900000000004130e-05,3.435648999999996785e-03,5.196939999999997985e-04,1.900809999999997408e-04,1.057373499999999383e-02,9.228224999999996153e-03,1.131000000000001538e-05,1.325852999999997499e-02,1.306051600000000118e-02,1.703459999999999740e-03,4.437804000000000054e-03,2.380231999999999487e-03,2.703239000000003112e-03,1.209200000000001060e-05,9.538660000000005875e-04,2.066106000000000279e-03,1.884970000000000623e-04,2.556900000000002574e-05,1.513009899999998541e-02,3.024548999999999207e-03,1.204015700000001486e-02,1.278600000000005681e-05,2.137090699999998761e-02,3.711743999999998593e-03,8.997140000000014570e-03,3.934999999999981807e-06,1.419119999999999789e-04
2.235996999999999985e-03,5.312679999999998879e-04,2.412659000000002326e-03,6.566573000000000895e-03,3.018317100000001904e-02,3.209738899999999701e-02,8.064936000000001715e-03,6.295414999999990845e-03,6.138599999999994387e-05,3.030480000000004772e-04,1.183346000000000918e-03,9.497789999999992289e-04,1.474181299999999771e-02,6.938365399999998906e-02,4.522800000000002166e-03,7.553406999999994625e-03,5.074329999999997341e-04,6.985899999999996930e-05,9.163810000000005085e-04,5.643680000000000961e-04,1.005720000000000800e-04,1.709249999999998043e-04,1.627205000000000274e-03,2.473670000000002356e-04,3.064400000000000002e-05,1.025843900000000634e-02,7.504116000000008585e-03,5.630100000000002220e-05,1.552034499999999963e-02,7.984491000000010219e-03,8.405149999999992532e-04,3.016589000000003112e-03,1.988268999999999974e-03,1.378818000000000404e-03,3.333820000000000685e-04,2.183730000000002214e-04,2.046210999999999169e-03,1.125200000000003050e-05,3.038900000000003447e-04,1.156628700000002577e-02,8.717599999999985517e-04,1.278744400000000891e-02,1.770299999999999974e-05,1.408607199999999289e-02,2.711389999999999395e-04,1.198031500000000700e-02,2.054900000000002975e-05,2.934999999999985028e-06
4.847929999999998560e-04,9.091239999999996529e-04,8.059688000000002350e-03,7.203926000000001988e-03,2.412484400000000639e-02,4.543901000000009037e-03,8.743898000000001683e-03,1.075547099999998694e-02,3.535550000000011101e-04,2.348310000000002323e-04,5.285665999999998761e-03,1.866676999999998879e-03,1.430622800000003365e-02,1.553471999999998668e-03,7.255288999999996366e-03,1.536596699999999427e-02,5.500200000000000634e-05,3.411030000000004237e-04,2.510327000000001432e-03,8.564799999999999584e-04,1.272600000000002690e-05,1.550300000000000387e-04,3.708505999999995965e-03,3.536620000000000302e-04,3.981579999999989889e-04,7.863824999999997900e-03,7.665672999999996115e-03,2.199850000000002866e-04,1.069335899999998216e-02,1.230823899999999686e-02,1.598071000000000604e-03,4.702612999999996983e-03,2.330428000000001141e-03,2.743259999999997801e-03,7.150699999999995081e-05,8.490499999999990893e-04,2.548180999999996588e-03,9.302599999999994586e-05,5.195500000000009464e-05,2.152217099999998925e-02,3.033950000000001403e-04,1.217658400000000418e-02,1.016080000000003052e-04,1.998347499999999707e-02,2.053465000000000845e-03,9.646901999999990193e-03,2.057000000000002921e-06,8.493200000000057529e-05
1.031000000000000463e-05,4.967600000000012544e-04,9.159860999999989636e-03,2.272215800000000271e-02,7.077292000000014183e-02,4.575296899999998362e-02,2.517046100000000161e-02,2.335235499999999825e-02,5.288870000000003456e-04,1.015736999999999196e-03,1.165958199999998952e-02,9.959875000000015591e-03,5.227801800000001636e-02,7.900968800000003622e-02,1.941976700000003220e-02,3.074451300000001150e-02,8.239799999999978944e-05,7.256800000000005466e-05,5.769605000000008373e-03,3.917959999999998111e-04,6.337039999999995827e-04,2.646769999999998920e-04,7.225079000000003172e-03,7.938029999999996096e-04,2.808190000000001857e-04,1.888475299999998677e-02,1.869088600000004541e-02,1.621209999999999340e-04,3.224121900000001539e-02,2.987028199999999800e-02,2.953909000000000656e-03,1.118111600000000483e-02,8.948134000000008623e-03,6.086453000000000349e-03,2.392000000000002848e-05,4.487208999999997214e-03,9.938688999999997081e-03,1.068579000000000273e-03,1.427300099999999176e-02,7.089224999999994142e-03,7.312444999999999883e-03,8.014711000000005955e-03,6.883691000000006881e-03,3.221149000000003010e-03,6.225149999999993753e-04,9.939937000000018466e-03,8.043999999999992779e-06,5.335999999999941796e-06
3.360870000000000502e-04,2.426119999999998245e-04,1.322946200000000433e-02,1.070460899999999688e-02,8.967656999999996936e-03,1.285402999999999199e-03,1.510737900000001972e-02,2.153592100000001341e-02,1.616833999999999719e-03,7.740039999999992525e-04,1.445864500000001128e-02,2.707318999999997963e-03,5.014695000000000437e-03,8.596813999999994294e-03,1.210639700000002046e-02,2.613157800000001640e-02,3.463899999999998057e-04,3.884250000000006187e-04,6.029614000000003450e-03,3.040370000000001656e-04,2.652110000000000600e-04,1.001879999999999698e-04,7.452683999999995881e-03,7.311039999999998902e-04,2.731930000000000252e-04,1.623737600000000475e-02,1.409371400000001065e-02,4.902110000000005959e-04,2.267126000000002639e-02,2.420700400000002500e-02,2.808771999999998877e-03,8.348140999999986017e-03,3.966729999999996439e-03,4.977630999999997120e-03,1.560399999999999494e-05,1.794750000000002723e-03,3.320417000000001288e-03,5.193299999999998135e-04,2.262884000000001464e-03,2.947860000000000606e-04,5.160159800000004016e-02,6.157793899999999127e-02,2.940349999999999995e-04,1.259983999999998933e-03,4.117910899999992907e-02,6.441427500000010409e-02,9.680000000000144913e-07,2.244600000000004903e-05
5.104820000000003617e-04,3.689800000000006584e-05,3.195349999999998062e-04,2.553847000000000148e-03,1.048200000000002432e-05,2.402832400000002103e-02,3.110059999999996959e-03,2.527303999999994111e-03,1.645000000000001225e-04,3.731470000000004306e-04,1.392397000000001380e-03,9.157599999999996483e-05,7.634570000000000462e-04,4.582611700000004812e-02,1.631714000000001556e-03,3.563073000000000368e-03,8.053260000000000886e-04,3.191070000000000603e-04,1.988190000000001657e-03,2.802800000000000677e-05,1.033066999999999926e-03,2.895300000000002993e-04,4.697009999999997775e-04,1.684290000000001860e-04,2.541799999999997382e-04,6.735912999999994419e-03,2.866708999999998536e-03,4.954449999999997398e-04,1.392024499999999429e-02,5.606282000000006698e-03,3.186699999999999152e-05,2.146878999999998240e-03,3.029022999999998744e-03,1.881259999999998858e-04,2.174879999999999750e-04,5.108299999999999863e-04,3.748089999999996568e-04,2.214620000000000152e-04,2.921601999999997971e-03,3.035460999999997980e-03,2.761355700000002120e-02,7.723559999999989566e-03,6.647190000000005724e-04,3.709973000000001825e-03,1.367647900000000701e-02,6.544378000000003470e-03,4.391100000000008153e-05,1.025289999999999936e-04
1.127715999999998877e-03,1.941100999999999547e-03,1.247426999999999521e-03,5.181930000000006678e-04,2.820104000000002529e-03,2.688652899999998888e-02,2.908429999999999392e-04,6.850600000000003833e-05,1.171794000000000958e-03,5.678899999999990639e-05,1.003218999999999205e-03,1.467789999999997953e-04,2.992019999999997689e-04,4.391477400000003833e-02,7.818299999999976289e-05,3.821139999999996961e-04,4.739150000000001543e-04,3.383309999999997123e-04,4.564200000000002820e-05,2.678895000000003617e-03,5.355399999999992127e-05,1.472600000000003316e-05,1.706499999999996621e-05,1.127709999999999271e-04,1.073470000000001227e-04,7.587240000000012013e-04,1.106148000000001241e-03,2.195630000000000390e-04,1.515665999999999064e-03,5.158149999999997633e-04,5.493299999999997702e-05,7.735899999999994831e-05,3.637000000000000042e-04,1.567900000000000015e-05,1.083003000000001001e-03,1.456600000000000928e-04,4.721600000000000330e-05,1.034585999999999882e-03,3.279920000000005284e-04,8.117419999999999540e-04,3.259651999999999168e-03,4.669750499999999332e-02,2.411858599999999048e-02,1.486594000000000153e-03,1.194575999999999711e-03,3.651501700000002459e-02,4.247999999999993887e-06,5.157900000000023241e-05
3.239400000000002222e-05,8.491300000000016771e-05,3.120756000000002306e-03,1.919741700000000828e-02,2.323911590000001803e-01,3.698059300000001298e-02,1.215580099999997998e-02,1.065584299999998603e-02,1.527120000000001330e-04,9.544399999999988104e-05,4.724905999999998336e-03,1.509207199999998764e-02,2.823761060000004042e-01,1.034380329999999154e-01,8.054005999999981624e-03,1.380362000000001123e-02,2.110900000000002439e-05,1.033590000000000246e-04,1.330399000000001639e-03,7.747099999999982798e-05,4.305900000000010392e-05,2.855920000000002025e-04,2.379165000000002094e-03,2.150300000000001418e-05,8.411310000000007123e-04,7.710598999999999405e-03,4.780080000000005123e-03,1.185289999999999895e-04,1.943031499999996886e-02,6.020325999999995986e-03,6.196530000000002826e-04,6.476645000000005696e-03,9.370788999999988753e-03,2.090459999999998413e-03,3.345100000000003599e-05,3.454735000000003046e-03,1.008418699999999966e-02,9.231019999999988878e-04,1.423560000000002749e-04,1.255904350000001113e-01,2.775255300000002423e-01,1.647562380000001103e-01,6.751000000000010682e-04,9.174660700000013269e-02,1.704662670000000602e-01,1.443209199999999359e-01,3.567999999999983457e-06,1.225000000000002459e-06
3.013349999999994180e-04,1.514840000000001780e-04,6.013599999999998802e-05,8.237799000000007449e-03,1.061556640000001772e-01,1.469187800000000023e-02,1.727819000000002615e-03,4.274599999999991362e-04,5.839300000000000149e-05,6.552500000000000707e-05,2.408240000000001324e-04,2.557012000000002602e-03,9.468502499999993660e-02,1.639277199999999296e-02,2.103969999999999983e-04,4.353490000000001308e-04,7.133500000000004800e-05,8.335499999999999052e-05,2.489700000000003623e-05,1.365310000000000655e-04,1.821839999999996774e-04,6.582770000000004061e-04,5.074600000000000508e-05,8.587300000000009075e-05,1.053500000000000264e-04,7.848860000000004809e-04,2.082287999999999847e-03,2.288400000000007092e-05,3.310905999999998444e-03,5.158699999999993824e-05,3.649200000000004296e-05,3.201999999999999768e-04,1.833479999999999962e-03,1.414050000000001818e-04,1.076940000000000162e-04,1.865220000000000820e-04,1.013236000000000258e-03,2.218500000000001883e-05,2.405400000000002753e-05,2.604497899999997854e-02,7.033356900000012346e-02,6.336577099999998741e-02,4.591267999999994708e-03,1.617102800000000049e-02,4.938902100000005374e-02,4.524181199999992298e-02,7.602000000000002771e-06,1.409400000000004158e-05
6.329900000000001855e-05,3.646450000000001383e-04,2.814534999999996918e-03,1.143215999999999330e-02,2.622174499999996647e-02,1.327098399999999782e-02,6.336944000000004941e-03,9.278829000000024876e-03,2.349970000000000270e-04,2.544129999999999916e-04,3.327522000000003328e-03,9.262120999999998161e-03,4.788001000000006308e-02,6.659739000000003406e-02,4.922958000000001583e-03,9.708611999999986267e-03,2.766559999999999614e-04,4.995379999999996750e-04,2.556745999999997330e-03,2.659820000000003275e-04,2.343120000000002191e-04,2.870989999999996986e-04,1.091233999999998653e-03,3.435969999999996852e-04,8.633640000000000368e-04,4.081218999999996176e-03,5.120629000000005010e-03,4.135690000000004037e-04,3.461867000000005620e-03,4.065071000000000830e-03,5.858230000000003981e-04,2.901819000000000794e-03,3.053934999999999809e-03,1.154499999999999494e-03,2.049849999999996510e-04,2.348237999999999888e-03,5.974301999999991238e-03,5.294000000000003998e-04,2.148150000000000146e-03,4.198559199999999519e-02,1.028003779999999423e-01,5.444250000000001172e-03,1.156259999999998311e-04,3.341201900000000113e-02,7.308319800000002975e-02,9.936647000000003310e-03,5.452599999999998583e-05,1.456900000000003619e-05
