CV_atria	1.0352752910000012
a_ventricles	0.015223522999999996
EDP_lv	0.012414890999999996
k_peri	0.00286596
a_atria	7.189799999999989e-05
AoPref	6.363299999999992e-05
TOT_A_V	4.6848999999999985e-05
sysOrifice_area	4.473800000000007e-05
EDP_rv	3.993899999999999e-05
nperm_V	3.693800000000004e-05
g_CaL	2.8454000000000016e-05
Tref_lvrv	1.9153000000000008e-05
dr_A	1.8354000000000008e-05
mitral_area	1.7828000000000026e-05
trpnmax	1.751999999999999e-05
TOT_A_A	1.620500000000001e-05
Rpulm	1.2000000000000022e-05
CV_ventricles	1.0189000000000012e-05
ca50_A	8.520000000000003e-06
PaPref	8.311999999999996e-06
Tref_V	7.747999999999987e-06
aortic_area	7.037999999999996e-06
maxTrpn	7.020999999999998e-06
VePref	6.890999999999984e-06
pulmOrifice_area	6.870999999999992e-06
tricuspid_area	6.841999999999984e-06
ktm_unblock	6.488999999999993e-06
wfrac_A	6.024999999999977e-06
AV_delay	5.834999999999995e-06
wfrac_V	5.605000000000004e-06
TRPN_n_A	5.397999999999995e-06
TRPN_n_V	4.465999999999992e-06
Rsys	3.6409999999999834e-06
mu_V	3.3779999999999916e-06
maxI_up	2.8589999999999903e-06
kArt	2.6529999999999943e-06
PCa_b	2.609999999999997e-06
phi	2.5539999999999996e-06
dr_V	2.4349999999999957e-06
perm50_A	2.3580000000000027e-06
Gncx_b	2.014e-06
mu_A	1.7719999999999955e-06
nperm_A	1.602999999999997e-06
ca50_V	1.6019999999999965e-06
perm50_V	1.1050000000000076e-06
Tref_A	5.860000000000071e-07
